coin,ts_ms,price
bitcoin,1788484200000,81046.64955367682
bitcoin-cash,1788484200000,255.30795209459714
monero,1788484200000,517.9959735931441
zcash,1788484200000,941.6768646062126
binancecoin,1788484500000,722.5183046515027
bitcoin,1788484500000,80959.22131953304
bitcoin-cash,1788484500000,255.25572874915312
cardano,1788484500000,0.21976991570849222
chainlink,1788484500000,11.82426904705399
ethereum,1788484500000,2504.646085422449
hyperliquid,1788484500000,86.80204473665678
monero,1788484500000,517.2053958365661
ripple,1788484500000,1.443376862756992
solana,1788484500000,103.69868044268594
tron,1788484500000,0.3301541658182125
zcash,1788484500000,938.1277785282815
binancecoin,1788484800000,722.4388852520871
bitcoin,1788484800000,80930.42808095296
bitcoin-cash,1788484800000,255.30991134479746
cardano,1788484800000,0.22032692044430396
chainlink,1788484800000,11.844004658107474
ethereum,1788484800000,2506.544251191941
hyperliquid,1788484800000,86.91317790557605
monero,1788484800000,517.7143663804314
ripple,1788484800000,1.4424600300328694
solana,1788484800000,103.67234678910155
tron,1788484800000,0.3300915252686485
zcash,1788484800000,940.2595847714075
binancecoin,1788485100000,721.1936846643076
bitcoin,1788485100000,80825.05750802219
bitcoin-cash,1788485100000,255.1070743592604
cardano,1788485100000,0.2204762381123125
chainlink,1788485100000,11.81822557309615
ethereum,1788485100000,2503.977399449306
hyperliquid,1788485100000,86.8240802819538
monero,1788485100000,517.012942138033
ripple,1788485100000,1.4404589636172747
solana,1788485100000,103.54949319077258
tron,1788485100000,0.33002871250946575
zcash,1788485100000,938.7112445968855
binancecoin,1788485400000,720.1892519911869
bitcoin,1788485400000,80828.83007977699
bitcoin-cash,1788485400000,255.02973909222152
cardano,1788485400000,0.22076108989805782
chainlink,1788485400000,11.81842360750616
ethereum,1788485400000,2504.3851519562236
hyperliquid,1788485400000,86.83603885526503
monero,1788485400000,516.6160965916586
ripple,1788485400000,1.4390503455998274
solana,1788485400000,103.48716035399609
tron,1788485400000,0.33001023534945056
zcash,1788485400000,939.5320269731961
binancecoin,1788485700000,719.6567249718317
bitcoin,1788485700000,80812.07036237362
bitcoin-cash,1788485700000,255.44935715060492
cardano,1788485700000,0.22165678730438954
chainlink,1788485700000,11.792434850104549
ethereum,1788485700000,2502.1441746185887
hyperliquid,1788485700000,86.60233703444182
monero,1788485700000,516.5523318563507
ripple,1788485700000,1.435184199868412
solana,1788485700000,103.36984057459395
tron,1788485700000,0.330012783902999
zcash,1788485700000,936.7216575876921
binancecoin,1788486000000,720.106595147646
bitcoin,1788486000000,80849.42255368583
bitcoin-cash,1788486000000,255.64820636668907
cardano,1788486000000,0.22185989570042827
chainlink,1788486000000,11.80274578927813
ethereum,1788486000000,2500.9700553950406
hyperliquid,1788486000000,86.56596428668142
monero,1788486000000,516.6454492943813
ripple,1788486000000,1.4373326310490302
solana,1788486000000,103.46873394148551
tron,1788486000000,0.33004490107303536
zcash,1788486000000,935.0669285501617
binancecoin,1788486300000,719.3720107357202
bitcoin,1788486300000,80791.98393551746
bitcoin-cash,1788486300000,255.26280502693166
cardano,1788486300000,0.22144036809306855
chainlink,1788486300000,11.791128888473711
ethereum,1788486300000,2499.42348739175
hyperliquid,1788486300000,86.76963379937015
monero,1788486300000,516.5365391455595
ripple,1788486300000,1.4367925846088214
solana,1788486300000,103.33181655856781
tron,1788486300000,0.3300501003892577
zcash,1788486300000,935.089643235881
binancecoin,1788486600000,720.5519940701645
bitcoin,1788486600000,80863.4249588358
bitcoin-cash,1788486600000,255.38495636932922
cardano,1788486600000,0.22222459460495045
chainlink,1788486600000,11.824310887901763
ethereum,1788486600000,2501.478956771546
hyperliquid,1788486600000,86.98683532166596
monero,1788486600000,517.6865689541956
ripple,1788486600000,1.438787114362722
solana,1788486600000,103.49612471466288
tron,1788486600000,0.3300424836012685
zcash,1788486600000,936.4127157599714
binancecoin,1788486900000,721.9488591100705
bitcoin,1788486900000,80975.3749671476
bitcoin-cash,1788486900000,255.86029163226007
