timestamp,strategy,n_scoreable,min_range_pos,median_range_pos,max_range_pos,n_below_55,n_candidates,top_candidate_range_pos
2026-09-04T05:41:16Z,daytrade,12,45.09,75.96,91.18,1,0,
2026-09-04T05:41:38Z,daytrade,12,45.09,75.96,91.18,1,0,
2026-09-04T05:42:48Z,daytrade,12,45.09,74.57,90.0,1,0,
2026-09-04T05:43:59Z,daytrade,12,45.09,74.57,90.0,1,0,
2026-09-04T05:45:01Z,daytrade,12,45.09,74.57,90.0,1,0,
2026-09-04T06:00:32Z,daytrade,12,44.71,74.57,90.0,1,0,
2026-09-04T06:01:42Z,daytrade,12,44.71,75.87,89.94,2,0,
2026-09-04T06:02:53Z,daytrade,12,44.71,75.87,89.94,2,0,
2026-09-04T06:03:53Z,daytrade,12,44.71,75.87,89.94,2,0,
2026-09-04T06:11:22Z,daytrade,12,43.55,75.33,89.94,2,0,
2026-09-04T06:13:03Z,daytrade,12,43.55,75.33,89.94,2,0,
2026-09-04T06:14:13Z,daytrade,12,43.55,75.33,92.66,2,0,
2026-09-04T06:15:16Z,daytrade,12,43.55,75.33,92.66,2,0,
2026-09-04T06:15:42Z,daytrade,12,43.55,75.33,92.66,2,0,
2026-09-04T06:16:54Z,daytrade,12,43.55,75.44,92.66,2,0,
2026-09-04T06:18:05Z,daytrade,12,43.01,76.47,92.66,2,0,
2026-09-04T06:19:16Z,daytrade,12,43.01,76.47,92.8,2,0,
2026-09-04T06:22:17Z,daytrade,12,43.01,76.47,92.8,2,0,
2026-09-04T06:24:14Z,daytrade,12,40.09,76.47,92.8,2,0,
2026-09-04T06:25:25Z,daytrade,12,40.09,76.47,92.8,2,0,
2026-09-04T06:26:33Z,daytrade,12,40.09,73.08,91.04,2,0,
2026-09-04T06:26:45Z,daytrade,12,40.09,73.08,91.04,2,0,
2026-09-04T06:27:56Z,daytrade,12,40.09,73.08,91.04,2,0,
2026-09-04T06:29:26Z,daytrade,12,40.41,73.08,91.04,2,0,
2026-09-04T06:30:31Z,daytrade,12,40.41,73.08,91.04,2,0,
